case,scenario_year,probability,social_welfare,social_loss
me_pap,1,0.06666666666666667,4.365200535821683e10,-4.365200535821683e10
me_pap,2,0.06666666666666667,4.317148601518816e10,-4.317148601518816e10
me_pap,3,0.06666666666666667,4.269096667214746e10,-4.269096667214746e10
me_pap,4,0.06666666666666667,4.292982728428043e10,-4.292982728428043e10
me_pap,5,0.06666666666666667,4.233523967168625e10,-4.233523967168625e10
me_pap,6,0.06666666666666667,4.1740652059008675e10,-4.1740652059008675e10
me_pap,7,0.06666666666666667,4.275531151281533e10,-4.275531151281533e10
me_pap,8,0.06666666666666667,4.220525527338102e10,-4.220525527338102e10
me_pap,9,0.06666666666666667,4.165519903389059e10,-4.165519903389059e10
me_pap,10,0.06666666666666667,4.2871377458163925e10,-4.2871377458163925e10
me_pap,11,0.06666666666666667,4.2337766733751526e10,-4.2337766733751526e10
me_pap,12,0.06666666666666667,4.180415600941058e10,-4.180415600941058e10
me_pap,13,0.06666666666666667,4.318424639707646e10,-4.318424639707646e10
me_pap,14,0.06666666666666667,4.267142626034123e10,-4.267142626034123e10
me_pap,15,0.06666666666666667,4.215860612363784e10,-4.215860612363784e10
